Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
64,optimized,,16,16,4646.79783396042,290.424864622526,0.142807,1,3334.79783396042,191,1035,86,0,1500
65,base,,11,11,4051.97223998641,368.361112726037,0.139958916666667,1,2733.9722399864,200,1060,58,0,NaN
65,optimized,,11,11,4051.97223998641,368.361112726037,0.144253541666667,1,2733.9722399864,200,1060,58,0,1500
66,base,,10,10,4060.3050311462,406.03050311462,0.141579041666667,1,2900.3050311462,174,930,56,0,NaN
66,optimized,,10,10,4060.3050311462,406.03050311462,0.156028916666667,1,2900.3050311462,174,930,56,0,1500
67,base,,13,13,4405.41709547972,338.878238113824,0.135580375,1,3234.41709547972,169,925,77,0,NaN
67,optimized,,13,13,4405.41709547972,338.878238113824,0.141837916666667,1,3234.41709547972,169,925,77,0,1500
68,base,,11,11,3810.06579061008,346.369617328189,0.133798083333333,1,2470.06579061008,204,1075,61,553.565742018932,NaN
68,optimized,,11,11,3810.06579061008,346.369617328189,0.138111375,1,2470.06579061008,204,1075,61,553.565742018932,1500
69,base,,16,16,3945.80889968469,246.613056230293,0.129229041666667,1,2791.80889968469,159,885,110,0,NaN
69,optimized,,16,16,3945.80889968469,246.613056230293,0.159233416666667,1,2791.80889968469,159,885,110,0,1500
70,base,,11,11,3979.04766983901,361.731606349001,0.142814125,1,2785.04766983901,174,950,70,259.302233788044,NaN
70,optimized,,11,11,3979.04766983901,361.731606349001,0.138295458333333,1,2785.04766983901,174,950,70,259.302233788044,1500
71,base,,13,13,3794.81201066357,291.90861620489,0.126014958333333,1,2936.81201066357,124,660,74,0,NaN
71,optimized,,13,13,3794.81201066357,291.90861620489,0.131957958333333,1,2936.81201066357,124,660,74,0,1500
72,base,,11,11,3875.80492289067,352.34590208097,0.132450625,1,2606.80492289067,185,1005,79,0,NaN
72,optimized,,11,11,3875.80492289067,352.34590208097,0.145259125,1,2606.80492289067,185,1005,79,0,1500
73,base,,16,16,4066.5250295657,254.157814347856,0.137026125,1,2815.5250295657,182,980,89,0,NaN
73,optimized,,16,16,4066.5250295657,254.157814347856,0.136133958333333,1,2815.5250295657,182,980,89,0,1500
74,base,,15,15,4232.21000367001,282.147333578001,0.135853333333333,1,3105.21000367001,159,875,93,453.345272539248,NaN
74,optimized,,15,15,4232.21000367001,282.147333578001,0.14842325,1,3105.21000367001,159,875,93,453.345272539248,1500
75,base,,11,11,3789.51144603821,344.501040548928,0.13161225,1,2420.51144603821,207,1095,67,54,NaN
75,optimized,,11,11,3789.51144603821,344.501040548928,0.137874833333333,1,2420.51144603821,207,1095,67,54,1500
76,base,,10,10,3852.17326850661,385.217326850661,0.132440333333333,1,2669.17326850661,179,945,59,507.024542740637,NaN
76,optimized,,10,10,3852.17326850661,385.217326850661,0.137829666666667,1,2669.17326850661,179,945,59,507.024542740637,1500
77,base,,14,14,4240.9012067661,302.921514769007,0.132214541666667,1,2839.9012067661,203,1110,88,0,NaN
77,optimized,,14,14,4240.9012067661,302.921514769007,0.147160375,1,2839.9012067661,203,1110,88,0,1500
78,base,,11,11,4014.67648388152,364.970589443774,0.134854875,1,2560.67648388152,219,1165,70,251.652239733611,NaN
78,optimized,,11,11,4014.67648388152,364.970589443774,0.138620416666667,1,2560.67648388152,219,1165,70,251.652239733611,1500
79,base,,14,14,4316.12505191495,308.294646565353,0.145537375,1,2927.12505191494,206,1095,88,0,NaN
79,optimized,,14,14,4316.12505191495,308.294646565353,0.138444125,1,2927.12505191494,206,1095,88,0,1500
80,base,,15,15,4307.91823635034,287.194549090022,0.129200583333333,1,3012.91823635034,189,1010,96,0,NaN
80,optimized,,15,15,4307.91823635034,287.194549090022,0.136596125,1,3012.91823635034,189,1010,96,0,1500
