Trial,Algorithm,Error,N,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,AnchorRadius_m
113,optimized,,13,13,3377.71613213381,259.824317856447,0.112656291666667,1,2482.71613213381,132,695,68,241.492204917377,1200
114,base,,12,12,3477.39918594717,289.783265495597,0.115966083333333,1,2530.39918594717,139,745,63,509.530792561715,NaN
114,optimized,,12,12,3372.17508428588,281.014590357156,0.127400583333333,1,2485.17508428588,132,695,60,0,1200
115,base,,13,13,3736.77249450535,287.444038038873,0.110609,1,2896.77249450535,122,650,68,572.351635481891,NaN
115,optimized,,13,13,3624.28114919448,278.790857630345,0.12224875,1,2629.28114919448,147,780,68,285.631453087886,1200
116,base,,10,10,3679.90817275632,367.990817275632,0.123484708333333,1,2827.90817275632,127,675,50,276.612049719893,NaN
116,optimized,,10,10,3036.48572266758,303.648572266758,0.128310666666667,1,2168.48572266758,130,685,53,0,1200
117,base,,11,11,3647.72661498986,331.611510453624,0.1118855,1,2752.72661498986,135,705,55,0,NaN
117,optimized,,11,11,3500.94367782064,318.267607074603,0.106554958333333,1,2688.94367782064,122,635,55,0,1260
118,base,,14,14,3495.18176128711,249.655840091937,0.1116005,1,2553.18176128711,136,730,76,36,NaN
118,optimized,,14,14,3373.58236850004,240.970169178574,0.119854375,1,2576.58236850004,114,610,73,0,1200
119,base,,15,15,3831.69378360037,255.446252240025,0.11048375,1,2802.69378360037,147,795,87,253.689119643162,NaN
119,optimized,,15,15,3979.0349349599,265.268995663994,0.121204916666667,1,3022.0349349599,136,740,81,0,1200
120,base,,14,14,3778.75549796969,269.911106997835,0.108011375,1,2830.75549796969,136,730,82,219.531386971101,NaN
120,optimized,,14,14,3390.51218611543,242.179441865388,0.127496541666667,1,2515.51218611543,125,665,85,161.72159997669,1200
121,base,,12,12,3620.04016621965,301.670013851637,0.108781,1,2539.04016621965,161,845,75,550.422320808095,NaN
121,optimized,,12,12,3284.56811590952,273.714009659127,0.115756333333333,1,2406.56811590952,129,680,69,0,1200
