N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,FinalCheck_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,Error
14,12,14,7477.04124769974,534.074374835696,0.11612875,1,5165.04124769974,318,1720,274,342.037544307296,25,0,9,42,2966.16296593046,2198.87828176928,
10,9,10,7524.45792358229,752.445792358229,0.113472916666667,1,4961.45792358229,367,1945,251,1016.93723845287,25,0,7,30,3208.768100638,1752.68982294429,
12,6,12,7292.95247317205,607.746039431004,0.106852333333333,1,4945.95247317205,340,1815,192,0,25,0,5,39,3349.31854826319,1596.63392490885,
14,10,14,7420.06668791288,530.004763422349,0.116825083333333,1,5090.06668791287,322,1725,283,0,25,0,8,47,3101.90466112978,1988.16202678309,
12,4,12,6562.57643316064,546.881369430053,0.106901458333333,1,4438.57643316064,307,1655,162,165.895936508758,25,0,7,35,3104.85838690709,1333.71804625356,
16,12,16,7222.92824839127,451.433015524454,0.10903175,1,5227.92824839127,270,1450,275,0,21,0,9,45,2405.03540726164,2822.89284112963,
12,9,12,7826.77285120706,652.231070933921,0.111565125,1,5173.77285120706,378,2020,255,77.2585911705173,25,0,7,37,3493.01881919698,1680.75403201008,
11,1,11,6880.57922007426,625.507201824933,0.106454416666667,1,4749.57922007425,311,1675,145,219.972843225672,25,0,5,42,3240.86034077626,1508.71887929799,
13,6,13,6797.60822099354,522.892940076426,0.114475625,1,4566.60822099353,310,1670,251,131.962336789873,25,0,8,42,2788.75044132679,1777.85777966675,
10,5,10,7054.26747405583,705.426747405583,0.119039583333333,1,4750.26747405583,329,1745,230,0,25,0,6,30,3338.94151686577,1411.32595719005,
10,2,10,6771.50739766254,677.150739766254,0.122642791666667,1,4352.50739766254,354,1895,170,0,25,0,5,42,3114.83388578216,1237.67351188038,
10,2,10,6577.57667273,657.757667273,0.105712416666667,1,4175.57667273,357,1905,140,685.185044245454,25,0,4,38,3052.54019977419,1123.03647295581,
14,1,14,6629.68266046197,473.548761461569,0.113791333333333,1,4636.68266046197,277,1505,211,1489.09282804468,25,0,6,56,3243.49055184197,1393.19210862,
10,6,10,6684.10585219552,668.410585219552,0.124625583333333,1,4405.10585219552,340,1835,104,178.728169786568,25,0,5,28,3252.05461132522,1153.0512408703,
14,10,14,6890.82603262583,492.201859473274,0.121573916666667,1,4809.82603262583,296,1580,205,0,25,0,6,53,3138.61332854641,1671.21270407943,
12,5,12,7043.96840272138,586.997366893448,0.118350958333333,1,4792.96840272138,327,1750,174,487.614453316091,25,0,5,41,3283.53225527093,1509.43614745044,
10,1,10,6246.31224115726,624.631224115726,0.111285041666667,1,4036.31224115726,320,1720,170,2172.62205178717,25,0,4,38,3080.88857882307,955.423662334189,
13,11,13,7233.41129006538,556.416253081952,0.116156,1,4774.41129006538,366,1950,143,159.348014734464,25,0,5,50,2965.01226029131,1809.39902977407,
