Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
28,base,,16,15,16,7941.74878319531,496.359298949707,0.140092375,1,5635.74878319531,322,1730,254,25,0,9,50,3380.64336488443,2255.10541831087,NaN,NaN
28,split,,16,15,16,7880.72704010373,492.545440006483,0.13745125,1,5619.72704010373,322,1730,209,25,0,7,50,3382.28259227852,2237.4444478252,6,1
29,base,,15,5,15,6699.72827033782,446.648551355855,0.124715583333333,1,4785.72827033782,270,1455,189,25,0,6,52,3094.41123571069,1691.31703462713,NaN,NaN
29,split,,15,5,15,6610.45258625004,440.696839083336,0.1330695,1,4755.45258625004,266,1445,144,25,0,4,50,3094.84077772281,1660.61180852723,0,1
30,base,,12,5,12,6770.84641080041,564.237200900034,0.141929666666667,1,4619.84641080041,312,1680,159,25,0,7,39,3031.64337734452,1588.20303345589,NaN,NaN
30,split,,12,5,12,6770.84641080041,564.237200900034,0.128021583333333,1,4619.84641080041,312,1680,159,25,0,7,39,3031.64337734452,1588.20303345589,2,0
31,base,,13,8,13,6950.86069564753,534.681591972887,0.174381833333333,1,4714.86069564753,311,1665,260,25,0,8,47,3070.35220315503,1644.5084924925,NaN,NaN
31,split,,13,8,13,6693.8908948496,514.9146842192,0.129065625,1,4585.8908948496,307,1655,146,25,0,4,45,3061.64936789549,1524.24152695411,1,0
32,base,,10,5,10,6450.36037558897,645.036037558897,0.150345791666667,1,4295.36037558897,313,1690,152,25,0,6,32,3350.69734244194,944.663033147029,NaN,NaN
32,split,,10,5,10,6504.18992221024,650.418992221024,0.134270708333333,1,4358.18992221024,316,1705,125,25,0,3,34,3352.26421085934,1005.9257113509,2,3
33,base,,16,3,16,5166.92462620385,322.932789137741,0.147997875,1,3661.92462620385,205,1130,170,21,0,4,60,2369.3868403915,1292.53778581235,NaN,NaN
33,split,,16,3,16,5123.02359026049,320.188974391281,0.126657,1,3662.02359026049,207,1135,119,21,0,2,61,2368.79287523419,1293.2307150263,2,1
34,base,,13,8,13,7291.22124679481,560.86317283037,0.128936166666667,1,5153.22124679481,299,1630,209,25,0,8,32,3442.32144006166,1710.89980673315,NaN,NaN
34,split,,13,8,13,7290.49420910147,560.807246853959,0.1284145,1,5152.49420910147,299,1630,209,25,0,7,32,3442.32144006166,1710.17276903981,5,0
35,base,,11,6,11,7223.78345003886,656.707586367169,0.146044291666667,1,4841.78345003886,337,1810,235,25,0,6,28,3465.54091027582,1376.24253976305,NaN,NaN
35,split,,11,6,11,7143.13391638216,649.375810580196,0.144252208333333,1,4842.13391638216,337,1810,154,25,0,4,28,3464.17437103263,1377.95954534954,4,0
36,base,,12,10,12,7288.29726660154,607.358105550129,0.13906225,1,4976.29726660154,339,1835,138,25,0,8,35,3226.70988536277,1749.58738123877,NaN,NaN
36,split,,12,10,12,7288.29726660154,607.358105550129,0.149258583333333,1,4976.29726660154,339,1835,138,25,0,8,35,3226.70988536277,1749.58738123877,4,0
37,base,,13,1,13,7338.62459040896,564.509583877613,0.134281375,1,5114.62459040896,317,1710,197,25,0,5,54,3325.30149227214,1789.32309813683,NaN,NaN
37,split,,13,1,13,7261.53770019405,558.57982309185,0.135251625,1,5112.53770019405,317,1710,122,25,0,2,54,3317.43371955993,1795.10398063412,1,0
38,base,,12,7,12,6641.89796433026,553.491497027522,0.132646958333333,1,4355.89796433026,344,1825,117,25,0,4,42,3050.58958068642,1305.30838364384,NaN,NaN
38,split,,12,7,12,6641.89796433026,553.491497027522,0.133209583333333,1,4355.89796433026,344,1825,117,25,0,4,42,3050.58958068642,1305.30838364384,3,0
39,base,,13,1,13,7000.39175107616,538.491673159705,0.129078333333333,1,4742.39175107617,318,1710,230,25,0,7,51,3048.95451693286,1693.43723414331,NaN,NaN
39,split,,13,1,13,6965.25900110886,535.789153931451,0.127570791666667,1,4748.25900110886,320,1715,182,25,0,5,52,3048.74756893672,1699.51143217214,1,1
40,base,,13,3,13,6890.58710169991,530.045161669224,0.126449208333333,1,4774.5871016999,307,1660,149,25,0,4,46,3123.90028909127,1650.68681260864,NaN,NaN
40,split,,13,3,13,6709.24933377835,516.096102598334,0.136493,1,4632.24933377835,305,1650,122,25,0,3,44,3125.31544547767,1506.93388830067,1,0
41,base,,10,4,10,6825.62874496166,682.562874496166,0.129485791666667,1,4512.62874496166,357,1900,56,25,0,0,48,3575.44295763051,937.185787331152,NaN,NaN
41,split,,10,4,10,6815.86575252754,681.586575252754,0.131064666666667,1,4512.86575252754,355,1895,53,25,0,0,47,3576.47070480199,936.395047725552,1,0
42,base,,11,5,11,6834.92511231111,621.35682839192,0.130045791666667,1,4468.92511231112,356,1895,115,25,0,3,43,2998.62848076835,1470.29663154276,NaN,NaN
42,split,,11,5,11,6834.92511231111,621.35682839192,0.13108425,1,4468.92511231112,356,1895,115,25,0,3,43,2998.62848076835,1470.29663154276,3,0
43,base,,16,9,16,6964.3911768121,435.274448550756,0.128788375,1,4809.3911768121,300,1610,245,25,0,8,53,2686.12809457866,2123.26308223344,NaN,NaN
43,split,,16,9,16,6919.61513490986,432.475945931867,0.134213833333333,1,4780.61513490986,300,1615,224,25,0,6,53,2682.79088154312,2097.82425336674,4,1
44,base,,13,2,13,7144.32126104973,549.563173926902,0.134473708333333,1,4967.32126104973,305,1645,227,25,0,9,47,2954.50125260538,2012.82000844435,NaN,NaN
44,split,,13,2,13,7119.08380931619,547.62183148586,0.131984875,1,4969.08380931619,305,1645,200,25,0,8,47,2954.50125260538,2014.58255671081,2,0
45,base,,12,8,12,7166.82910040486,597.235758367072,0.132028916666667,1,4836.82910040486,322,1735,273,25,0,9,34,3078.51861163644,1758.31048876842,NaN,NaN
45,split,,12,8,12,7062.94880330795,588.579066942329,0.1246975,1,4834.94880330795,322,1735,171,25,0,6,34,3082.04058164378,1752.90822166417,0,1
46,base,,14,5,14,6713.74966190543,479.553547278959,0.127504583333333,1,4835.74966190543,265,1435,178,25,0,8,49,3143.18519524197,1692.56446666345,NaN,NaN
46,split,,14,5,14,6643.61170591234,474.543693279453,0.14310925,1,4839.61170591234,260,1420,124,25,0,5,46,3147.904121261,1691.70758465134,2,0
47,base,,10,5,10,7683.4642918158,768.34642918158,0.134739541666667,1,5253.46429181579,352,1875,203,25,0,6,35,3682.75522632688,1570.70906548891,NaN,NaN
47,split,,10,5,10,7656.92918601096,765.692918601096,0.133706166666667,1,5259.92918601096,352,1875,170,25,0,5,35,3684.09089140449,1575.83829460648,3,0
48,base,,14,11,14,7472.48634488873,533.74902463491,0.133234916666667,1,5309.48634488874,292,1585,286,25,0,10,40,3198.89175802021,2110.59458686852,NaN,NaN
48,split,,14,11,14,7394.77488748433,528.198206248881,0.137565458333333,1,5292.77488748433,290,1580,232,25,0,7,39,3194.93797370222,2097.83691378212,4,0
49,base,,13,1,13,7007.33159400291,539.025507230993,0.140543166666667,1,4726.3315940029,319,1705,257,25,0,8,46,2950.58282373326,1775.74877026964,NaN,NaN
49,split,,13,1,13,6927.40979365217,532.877676434783,0.132379583333333,1,4739.40979365217,320,1710,158,25,0,5,47,2951.05770763811,1788.35208601406,0,2
50,base,,12,11,12,7520.2224011031,626.685200091925,0.131222166666667,1,5008.22240110309,345,1855,312,25,0,12,31,3040.5091040721,1967.71329703098,NaN,NaN
50,split,,12,11,12,7441.64844824235,620.137370686862,0.133295333333333,1,5013.64844824234,344,1850,234,25,0,9,30,3041.74670464032,1971.90174360201,3,0
51,base,,15,4,15,6792.73740935776,452.849160623851,0.131814708333333,1,4802.73740935776,275,1490,225,25,0,9,56,3337.10406249194,1465.63334686582,NaN,NaN
